Year,Barrio,GeoCode,Value
2019,Palacio,860645,0.0075
2019,Embajadores,860646,0.0083
2019,Cortes,860647,0.0072
2019,Justicia,860648,0.0072
2019,Universidad,860649,0.0075
2019,Sol,860650,0.0078
2019,Imperial,860651,0.0065
2019,Las Acacias,860652,0.0064
2019,La Chopera,860653,0.0074
2019,Legazpi,860654,0.006
2019,Las Delicias,860655,0.0067
2019,Palos de Moguer,860656,0.0071
2019,Atocha,860657,0.0065
2019,Pacífico,860658,0.0061
2019,Adelfas,860659,0.0063
2019,La Estrella,860660,0.0057
2019,Ibiza,860661,0.0061
2019,Los Jerónimos,860662,0.0055
2019,Niño Jesús,860663,0.0055
2019,Recoletos,860664,0.0055
2019,Goya,860665,0.006
2019,Fuente del Berro,860666,0.0062
2019,Guindalera,860667,0.0061
2019,Lista,860668,0.006
2019,Castellana,860669,0.0057
2019,El Viso,860670,0.0053
2019,Prosperidad,860671,0.0062
2019,Ciudad Jardín,860672,0.0062
2019,Hispanoamérica,860673,0.0056
2019,Nueva España,860674,0.0054
2019,Castilla,860675,0.0058
2019,Bellas Vistas,860676,0.0082
2019,Cuatro Caminos,860677,0.0073
2019,Castillejos,860678,0.0072
2019,Almenara,860679,0.0086
2019,Valdeacederas,860680,0.0084
2019,Berruguete,860681,0.0084
2019,Gaztambide,860682,0.0062
2019,Arapiles,860683,0.0063
2019,Trafalgar,860684,0.0062
2019,Almagro,860685,0.0058
2019,Ríos Rosas,860686,0.0061
2019,Vallehermoso,860687,0.0056
2019,El Pardo,860688,0.007
2019,Fuentelarreina,860689,0.0058
2019,Peñagrande,860690,0.0069
2019,Del Pilar,860691,0.0073
2019,La Paz,860692,0.0063
2019,Valverde,860693,0.0069
2019,Mirasierra,860694,0.0059
2019,El Goloso,860695,0.0058
2019,Casa de Campo,860696,0.0065
2019,Argüelles,860697,0.0061
2019,Ciudad Universitaria,860698,0.0059
2019,Valdezarza,860699,0.0069
2019,Valdemarín,860700,0.0054
2019,El Plantío,860701,0.0053
2019,Aravaca,860702,0.0056
2019,Los Cármenes,860703,0.0093
2019,Puerta del Ángel,860704,0.0093
2019,Lucero,860705,0.0091
2019,Aluche,860706,0.0088
2019,Campamento,860707,0.0086
2019,Cuatro Vientos,860708,0.008
2019,Las Águilas,860709,0.0087
2019,Comillas,860710,0.0096
2019,Opañel,860711,0.0097
2019,San Isidro,860712,0.0103
2019,Vista Alegre,860713,0.0099
2019,Puerta Bonita,860714,0.0102
2019,Buenavista,860715,0.009
2019,Abrantes,860716,0.0098
2019,Orcasitas,860717,0.0093
2019,Orcasur,860718,0.0101
2019,San Fermín,860719,0.0097
2019,Almendrales,860720,0.01
2019,Moscardó,860721,0.0098
2019,Zofío,860722,0.0098
2019,Pradolongo,860723,0.0105
2019,Entrevías,860724,0.0117
2019,San Diego,860725,0.0118
2019,Palomeras Bajas,860726,0.0105
2019,Palomeras Sureste,860727,0.0108
2019,Portazgo,860728,0.0113
2019,Numancia,860729,0.0113
2019,Pavones,860730,0.008
2019,Horcajo,860731,0.0072
2019,Marroquina,860732,0.0074
2019,Media Legua,860733,0.008
2019,Fontarrón,860734,0.0084
2019,Vinateros,860735,0.0079
2019,Ventas,860736,0.0083
2019,Pueblo Nuevo,860737,0.0082
2019,Quintana,860738,0.0083
2019,La Concepción,860739,0.0077
2019,San Pascual,860740,0.0074
2019,San Juan Bautista,860741,0.0067
2019,Colina,860742,0.007
