Year,Nivel,Género,GeoCode,Value
2018,No sabe leer ni escribir,,860645,54
2018,No sabe leer ni escribir,,860646,151
2018,No sabe leer ni escribir,,860647,19
2018,No sabe leer ni escribir,,860648,28
2018,No sabe leer ni escribir,,860649,45
2018,No sabe leer ni escribir,,860650,12
2018,No sabe leer ni escribir,,860651,21
2018,No sabe leer ni escribir,,860652,45
2018,No sabe leer ni escribir,,860653,35
2018,No sabe leer ni escribir,,860654,7
2018,No sabe leer ni escribir,,860655,36
2018,No sabe leer ni escribir,,860656,43
2018,No sabe leer ni escribir,,860657,2
2018,No sabe leer ni escribir,,860658,47
2018,No sabe leer ni escribir,,860659,30
2018,No sabe leer ni escribir,,860660,28
2018,No sabe leer ni escribir,,860661,32
2018,No sabe leer ni escribir,,860662,11
2018,No sabe leer ni escribir,,860663,19
2018,No sabe leer ni escribir,,860664,7
2018,No sabe leer ni escribir,,860665,43
2018,No sabe leer ni escribir,,860666,35
2018,No sabe leer ni escribir,,860667,46
2018,No sabe leer ni escribir,,860668,21
2018,No sabe leer ni escribir,,860669,16
2018,No sabe leer ni escribir,,860670,28
2018,No sabe leer ni escribir,,860671,49
2018,No sabe leer ni escribir,,860672,28
2018,No sabe leer ni escribir,,860673,24
2018,No sabe leer ni escribir,,860674,16
2018,No sabe leer ni escribir,,860675,29
2018,No sabe leer ni escribir,,860676,59
2018,No sabe leer ni escribir,,860677,70
2018,No sabe leer ni escribir,,860678,32
2018,No sabe leer ni escribir,,860679,151
2018,No sabe leer ni escribir,,860680,121
2018,No sabe leer ni escribir,,860681,59
2018,No sabe leer ni escribir,,860682,24
2018,No sabe leer ni escribir,,860683,30
2018,No sabe leer ni escribir,,860684,33
2018,No sabe leer ni escribir,,860685,21
2018,No sabe leer ni escribir,,860686,37
2018,No sabe leer ni escribir,,860687,22
2018,No sabe leer ni escribir,,860688,11
2018,No sabe leer ni escribir,,860689,4
2018,No sabe leer ni escribir,,860690,144
2018,No sabe leer ni escribir,,860691,156
2018,No sabe leer ni escribir,,860692,34
2018,No sabe leer ni escribir,,860693,193
2018,No sabe leer ni escribir,,860694,89
2018,No sabe leer ni escribir,,860695,40
2018,No sabe leer ni escribir,,860696,23
2018,No sabe leer ni escribir,,860697,22
2018,No sabe leer ni escribir,,860698,16
2018,No sabe leer ni escribir,,860699,60
2018,No sabe leer ni escribir,,860700,4
2018,No sabe leer ni escribir,,860701,7
2018,No sabe leer ni escribir,,860702,48
2018,No sabe leer ni escribir,,860703,138
2018,No sabe leer ni escribir,,860704,144
2018,No sabe leer ni escribir,,860705,139
2018,No sabe leer ni escribir,,860706,172
2018,No sabe leer ni escribir,,860707,55
2018,No sabe leer ni escribir,,860708,19
2018,No sabe leer ni escribir,,860709,247
2018,No sabe leer ni escribir,,860710,82
2018,No sabe leer ni escribir,,860711,110
2018,No sabe leer ni escribir,,860712,264
2018,No sabe leer ni escribir,,860713,166
2018,No sabe leer ni escribir,,860714,272
2018,No sabe leer ni escribir,,860715,152
2018,No sabe leer ni escribir,,860716,143
2018,No sabe leer ni escribir,,860717,293
2018,No sabe leer ni escribir,,860718,240
2018,No sabe leer ni escribir,,860719,187
2018,No sabe leer ni escribir,,860720,66
2018,No sabe leer ni escribir,,860721,74
2018,No sabe leer ni escribir,,860722,62
2018,No sabe leer ni escribir,,860723,117
2018,No sabe leer ni escribir,,860724,643
2018,No sabe leer ni escribir,,860725,238
2018,No sabe leer ni escribir,,860726,253
2018,No sabe leer ni escribir,,860727,488
2018,No sabe leer ni escribir,,860728,376
2018,No sabe leer ni escribir,,860729,332
2018,No sabe leer ni escribir,,860730,104
2018,No sabe leer ni escribir,,860731,29
2018,No sabe leer ni escribir,,860732,72
2018,No sabe leer ni escribir,,860733,144
2018,No sabe leer ni escribir,,860734,109
2018,No sabe leer ni escribir,,860735,75
2018,No sabe leer ni escribir,,860736,186
2018,No sabe leer ni escribir,,860737,244
2018,No sabe leer ni escribir,,860738,83
2018,No sabe leer ni escribir,,860739,50
2018,No sabe leer ni escribir,,860740,80
2018,No sabe leer ni escribir,,860741,15
2018,No sabe leer ni escribir,,860742,9
2018,No sabe leer ni escribir,,860743,0
2018,No sabe leer ni escribir,,860744,54
2018,No sabe leer ni escribir,,860745,6
2018,No sabe leer ni escribir,,860746,8
2018,No sabe leer ni escribir,,860747,119
2018,No sabe leer ni escribir,,860748,198
2018,No sabe leer ni escribir,,860749,82
2018,No sabe leer ni escribir,,860750,100
2018,No sabe leer ni escribir,,860751,446
2018,No sabe leer ni escribir,,860752,164
2018,No sabe leer ni escribir,,860753,72
2018,No sabe leer ni escribir,,860754,252
2018,No sabe leer ni escribir,,860755,188
2018,No sabe leer ni escribir,,860756,524
2018,No sabe leer ni escribir,,860757,162
2018,No sabe leer ni escribir,,860758,105
2018,No sabe leer ni escribir,,860759,351
2018,No sabe leer ni escribir,,860760,82
2018,No sabe leer ni escribir,,860761,7
2018,No sabe leer ni escribir,,860762,3
2018,No sabe leer ni escribir,,860763,152
2018,No sabe leer ni escribir,,860764,96
2018,No sabe leer ni escribir,,860765,108
2018,No sabe leer ni escribir,,860766,305
2018,No sabe leer ni escribir,,860767,45
2018,No sabe leer ni escribir,,860768,39
2018,No sabe leer ni escribir,,860769,199
2018,No sabe leer ni escribir,,860770,18
2018,No sabe leer ni escribir,,860771,22
2018,No sabe leer ni escribir,,860772,27
2018,No sabe leer ni escribir,,860773,72
2018,No sabe leer ni escribir,,860774,34
2018,No sabe leer ni escribir,,860775,14
2018,Sin estudios,,860645,518
2018,Sin estudios,,860646,1690
2018,Sin estudios,,860647,194
2018,Sin estudios,,860648,230
2018,Sin estudios,,860649,612
2018,Sin estudios,,860650,128
2018,Sin estudios,,860651,430
2018,Sin estudios,,860652,719
2018,Sin estudios,,860653,621
2018,Sin estudios,,860654,177
2018,Sin estudios,,860655,498
2018,Sin estudios,,860656,671
2018,Sin estudios,,860657,17
2018,Sin estudios,,860658,598
2018,Sin estudios,,860659,365
2018,Sin estudios,,860660,307
2018,Sin estudios,,860661,345
2018,Sin estudios,,860662,87
2018,Sin estudios,,860663,113
2018,Sin estudios,,860664,101
2018,Sin estudios,,860665,382
2018,Sin estudios,,860666,346
2018,Sin estudios,,860667,625
2018,Sin estudios,,860668,235
2018,Sin estudios,,860669,159
2018,Sin estudios,,860670,157
2018,Sin estudios,,860671,512
2018,Sin estudios,,860672,274
2018,Sin estudios,,860673,305
2018,Sin estudios,,860674,174
2018,Sin estudios,,860675,215
2018,Sin estudios,,860676,821
2018,Sin estudios,,860677,633
2018,Sin estudios,,860678,343
2018,Sin estudios,,860679,1105
2018,Sin estudios,,860680,1028
2018,Sin estudios,,860681,765
2018,Sin estudios,,860682,347
2018,Sin estudios,,860683,409
2018,Sin estudios,,860684,352
2018,Sin estudios,,860685,193
2018,Sin estudios,,860686,374
2018,Sin estudios,,860687,161
2018,Sin estudios,,860688,154
2018,Sin estudios,,860689,31
2018,Sin estudios,,860690,1461
2018,Sin estudios,,860691,2007
2018,Sin estudios,,860692,478
2018,Sin estudios,,860693,1540
2018,Sin estudios,,860694,321
2018,Sin estudios,,860695,252
2018,Sin estudios,,860696,284
2018,Sin estudios,,860697,329
2018,Sin estudios,,860698,186
2018,Sin estudios,,860699,984
2018,Sin estudios,,860700,43
2018,Sin estudios,,860701,23
2018,Sin estudios,,860702,321
2018,Sin estudios,,860703,904
2018,Sin estudios,,860704,1875
2018,Sin estudios,,860705,1834
2018,Sin estudios,,860706,3062
2018,Sin estudios,,860707,755
2018,Sin estudios,,860708,88
2018,Sin estudios,,860709,2891
2018,Sin estudios,,860710,899
2018,Sin estudios,,860711,1340
2018,Sin estudios,,860712,2180
2018,Sin estudios,,860713,2133
2018,Sin estudios,,860714,2040
2018,Sin estudios,,860715,1610
2018,Sin estudios,,860716,1368
2018,Sin estudios,,860717,1821
2018,Sin estudios,,860718,1144
2018,Sin estudios,,860719,1234
2018,Sin estudios,,860720,1072
2018,Sin estudios,,860721,1001
2018,Sin estudios,,860722,789
2018,Sin estudios,,860723,957
2018,Sin estudios,,860724,3671
2018,Sin estudios,,860725,2394
2018,Sin estudios,,860726,2128
2018,Sin estudios,,860727,3610
2018,Sin estudios,,860728,2416
2018,Sin estudios,,860729,2877
2018,Sin estudios,,860730,592
2018,Sin estudios,,860731,135
2018,Sin estudios,,860732,880
2018,Sin estudios,,860733,819
2018,Sin estudios,,860734,943
2018,Sin estudios,,860735,823
2018,Sin estudios,,860736,1996
2018,Sin estudios,,860737,2712
2018,Sin estudios,,860738,801
2018,Sin estudios,,860739,477
2018,Sin estudios,,860740,601
2018,Sin estudios,,860741,151
2018,Sin estudios,,860742,96
2018,Sin estudios,,860743,10
2018,Sin estudios,,860744,254
2018,Sin estudios,,860745,31
2018,Sin estudios,,860746,123
2018,Sin estudios,,860747,1532
2018,Sin estudios,,860748,2387
2018,Sin estudios,,860749,597
2018,Sin estudios,,860750,467
2018,Sin estudios,,860751,3470
2018,Sin estudios,,860752,1191
2018,Sin estudios,,860753,630
2018,Sin estudios,,860754,2209
2018,Sin estudios,,860755,1886
2018,Sin estudios,,860756,3036
2018,Sin estudios,,860757,1003
2018,Sin estudios,,860758,606
2018,Sin estudios,,860759,2811
2018,Sin estudios,,860760,495
2018,Sin estudios,,860761,160
2018,Sin estudios,,860762,7
2018,Sin estudios,,860763,1183
2018,Sin estudios,,860764,721
2018,Sin estudios,,860765,585
2018,Sin estudios,,860766,1531
2018,Sin estudios,,860767,558
2018,Sin estudios,,860768,325
2018,Sin estudios,,860769,1404
2018,Sin estudios,,860770,198
2018,Sin estudios,,860771,184
2018,Sin estudios,,860772,108
2018,Sin estudios,,860773,403
2018,Sin estudios,,860774,296
2018,Sin estudios,,860775,101
2018,Enseñanza primaria incompleta,,860645,1500
2018,Enseñanza primaria incompleta,,860646,4080
2018,Enseñanza primaria incompleta,,860647,630
2018,Enseñanza primaria incompleta,,860648,833
2018,Enseñanza primaria incompleta,,860649,1999
2018,Enseñanza primaria incompleta,,860650,449
2018,Enseñanza primaria incompleta,,860651,1606
2018,Enseñanza primaria incompleta,,860652,2582
2018,Enseñanza primaria incompleta,,860653,1887
2018,Enseñanza primaria incompleta,,860654,653
2018,Enseñanza primaria incompleta,,860655,1767
2018,Enseñanza primaria incompleta,,860656,2096
2018,Enseñanza primaria incompleta,,860657,62
2018,Enseñanza primaria incompleta,,860658,2144
2018,Enseñanza primaria incompleta,,860659,1166
2018,Enseñanza primaria incompleta,,860660,1043
2018,Enseñanza primaria incompleta,,860661,1163
2018,Enseñanza primaria incompleta,,860662,272
2018,Enseñanza primaria incompleta,,860663,480
2018,Enseñanza primaria incompleta,,860664,418
2018,Enseñanza primaria incompleta,,860665,1250
2018,Enseñanza primaria incompleta,,860666,1299
2018,Enseñanza primaria incompleta,,860667,2004
2018,Enseñanza primaria incompleta,,860668,873
2018,Enseñanza primaria incompleta,,860669,547
2018,Enseñanza primaria incompleta,,860670,459
2018,Enseñanza primaria incompleta,,860671,1854
2018,Enseñanza primaria incompleta,,860672,981
2018,Enseñanza primaria incompleta,,860673,1080
2018,Enseñanza primaria incompleta,,860674,590
2018,Enseñanza primaria incompleta,,860675,680
2018,Enseñanza primaria incompleta,,860676,2719
2018,Enseñanza primaria incompleta,,860677,1999
2018,Enseñanza primaria incompleta,,860678,1197
2018,Enseñanza primaria incompleta,,860679,2851
2018,Enseñanza primaria incompleta,,860680,2761
2018,Enseñanza primaria incompleta,,860681,2503
2018,Enseñanza primaria incompleta,,860682,1163
2018,Enseñanza primaria incompleta,,860683,1380
2018,Enseñanza primaria incompleta,,860684,1303
2018,Enseñanza primaria incompleta,,860685,733
2018,Enseñanza primaria incompleta,,860686,1292
2018,Enseñanza primaria incompleta,,860687,725
2018,Enseñanza primaria incompleta,,860688,421
2018,Enseñanza primaria incompleta,,860689,93
2018,Enseñanza primaria incompleta,,860690,3780
2018,Enseñanza primaria incompleta,,860691,5538
2018,Enseñanza primaria incompleta,,860692,1949
2018,Enseñanza primaria incompleta,,860693,3664
2018,Enseñanza primaria incompleta,,860694,854
2018,Enseñanza primaria incompleta,,860695,509
2018,Enseñanza primaria incompleta,,860696,968
2018,Enseñanza primaria incompleta,,860697,1122
2018,Enseñanza primaria incompleta,,860698,631
2018,Enseñanza primaria incompleta,,860699,3108
2018,Enseñanza primaria incompleta,,860700,182
2018,Enseñanza primaria incompleta,,860701,92
2018,Enseñanza primaria incompleta,,860702,957
2018,Enseñanza primaria incompleta,,860703,2124
2018,Enseñanza primaria incompleta,,860704,5154
2018,Enseñanza primaria incompleta,,860705,4565
2018,Enseñanza primaria incompleta,,860706,9625
2018,Enseñanza primaria incompleta,,860707,2396
2018,Enseñanza primaria incompleta,,860708,279
2018,Enseñanza primaria incompleta,,860709,7727
2018,Enseñanza primaria incompleta,,860710,2838
2018,Enseñanza primaria incompleta,,860711,4131
2018,Enseñanza primaria incompleta,,860712,5386
2018,Enseñanza primaria incompleta,,860713,6408
2018,Enseñanza primaria incompleta,,860714,4698
2018,Enseñanza primaria incompleta,,860715,4254
2018,Enseñanza primaria incompleta,,860716,3914
2018,Enseñanza primaria incompleta,,860717,3196
2018,Enseñanza primaria incompleta,,860718,1919
2018,Enseñanza primaria incompleta,,860719,2990
2018,Enseñanza primaria incompleta,,860720,3099
2018,Enseñanza primaria incompleta,,860721,3693
2018,Enseñanza primaria incompleta,,860722,2058
2018,Enseñanza primaria incompleta,,860723,3024
2018,Enseñanza primaria incompleta,,860724,5737
2018,Enseñanza primaria incompleta,,860725,5615
2018,Enseñanza primaria incompleta,,860726,4929
2018,Enseñanza primaria incompleta,,860727,5879
2018,Enseñanza primaria incompleta,,860728,4872
2018,Enseñanza primaria incompleta,,860729,6970
2018,Enseñanza primaria incompleta,,860730,989
2018,Enseñanza primaria incompleta,,860731,340
2018,Enseñanza primaria incompleta,,860732,2636
